Date,Transaction,Name,Memo,Amount
2023-01-19,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,100.0
2023-01-19,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,20.0
2023-01-19,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,25.0
2023-01-19,DEBIT,RECURRING DEBIT PURCHASE Amazon Prime*MA2Amzn.com/bilWA,Download from usbank.com.3650,-14.99
2023-01-19,DEBIT,WEB AUTHORIZED PMT PAYMENT FOR AMZ,Download from usbank.com.,-90.0
2023-01-20,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,10.0
2023-01-20,DEBIT,DEBIT PURCHASE -VISA WHOLEFDS TAN 103HILLSBORO   OR,Download from usbank.com.3650,-7.99
2023-01-20,DEBIT,DEBIT PURCHASE -VISA PP*DUTCHBROSLL  WOODBURN    OR,Download from usbank.com.3650,-5.65
2023-01-20,DEBIT,DEBIT PURCHASE -VISA SQ *TAQUERIA VILPortland    OR,Download from usbank.com.3650,-14.38
2023-01-23,CREDIT,ELECTRONIC DEPOSIT PREMERE REHAB,Download from usbank.com.,1215.96
2023-01-23,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,1906.95
2023-01-23,DEBIT,DEBIT PURCHASE -VISA CHEGG  ORDER    855-440-1323CA,Download from usbank.com.3650,-55.49
2023-01-23,DEBIT,DEBIT PURCHASE -VISA DRI*HitPaw      myord.com   MN,Download from usbank.com.3650,-17.99
2023-01-23,DEBIT,DEBIT PURCHASE -VISA SHELL OIL 574431BEAVERTON   OR,Download from usbank.com.3650,-36.5
2023-01-23,DEBIT,DEBIT PURCHASE -VISA KRISPY KREME #11BEAVERTON   OR,Download from usbank.com.3650,-10.0
2023-01-23,DEBIT,DEBIT PURCHASE -VISA OLIVE GARDEN  00LAKE OSWEGO OR,Download from usbank.com.0857,-16.79
2023-01-23,DEBIT,DEBIT PURCHASE -VISA CLR*YogaSix     541-[ANONYMIZED] OR,Download from usbank.com.3650,-10.0
2023-01-23,DEBIT,DEBIT PURCHASE -VISA 24 HOUR FITNESS BEAVERTON   OR,Download from usbank.com.3650,-2.99
2023-01-23,DEBIT,DEBIT PURCHASE -VISA TST* VICTORICO MHILLSBORO   OR,Download from usbank.com.3650,-27.32
2023-01-23,DEBIT,DEBIT PURCHASE -VISA MED*CTR FOR MEDI855-367-1343WA,Download from usbank.com.3650,-8.0
2023-01-23,DEBIT,DEBIT PURCHASE -VISA SQ *HANNAH LUND SALEM       OR,Download from usbank.com.0857,-42.0
2023-01-23,DEBIT,DEBIT PURCHASE -VISA TAUERIA LOS PANDSALEM       OR,Download from usbank.com.3650,-18.0
2023-01-23,DEBIT,DEBIT PURCHASE -VISA SQ *FRUITY MIX  SALEM       OR,Download from usbank.com.3650,-10.0
2023-01-23,DEBIT,RECURRING DEBIT PURCHASE Disney Plus     Burbank     CA,Download from usbank.com.3650,-12.99
2023-01-23,DEBIT,DEBIT PURCHASE THE VITAMIN SHOPBEAVERTON   OR,Download from usbank.com.3650,-49.99
2023-01-23,DEBIT,DEBIT PURCHASE COSTCO WHSE #000ALOHA       OR,Download from usbank.com.3650,-9.99
2023-01-24,DEBIT,DEBIT PURCHASE -VISA ROGUE           614-[ANONYMIZED] OH,Download from usbank.com.3650,-61.95
2023-01-24,DEBIT,DEBIT PURCHASE -VISA CAFE YUMM - 1000BEAVERTON   OR,Download from usbank.com.3650,-24.0
2023-01-24,DEBIT,DEBIT PURCHASE FRED-MEYER #0482BEAVERTON   OR,Download from usbank.com.3650,-14.85
2023-01-25,DEBIT,DEBIT PURCHASE -VISA UNITED      [ANONYMIZED]-932-2732TX,Download from usbank.com.3650,-1906.95
2023-01-25,DEBIT,DEBIT PURCHASE -VISA AMAZON.COM*6P6SAAMZN.COM/BILWA,Download from usbank.com.3650,-19.94
2023-01-25,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.3650,-5.8
2023-01-25,DEBIT,DEBIT PURCHASE -VISA INNOVATIVE LEARN865-522-1946TN,Download from usbank.com.3650,-105.0
2023-01-25,DEBIT,DEBIT PURCHASE -VISA WALGREENS #[ANONYMIZED] SALEM       OR,Download from usbank.com.3650,-16.99
2023-01-25,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.3650,-7.4
2023-01-25,DEBIT,DEBIT PURCHASE -VISA BA@WILLAMETTE CASALEM       OR,Download from usbank.com.3650,-4.75
2023-01-25,DEBIT,DEBIT PURCHASE -VISA SQ *LOS TRES MOSVancouver   WA,Download from usbank.com.3650,-12.08
2023-01-25,DEBIT,DEBIT PURCHASE QFC #[ANONYMIZED] [ANONYMIZED] NPORTLAND    OR,Download from usbank.com.3650,-191.0
2023-01-25,DEBIT,DEBIT PURCHASE USPS PO 40388802HILLSBORO   OR,Download from usbank.com.3650,-36.0
2023-01-26,CREDIT,MOBILE BANKING TRANSFER DEPOSIT [ANONYMIZED],Download from usbank.com.,826.0
